rho_1,theta_1,field_strength
5.4e+06,3.07876,5.81832
6e+06,3.07876,4.72214
0,3.14159,56.9914
600000,3.14159,52.6784
1.2e+06,3.14159,40.7413
1.8e+06,3.14159,29.3606
2.4e+06,3.14159,21.1986
3e+06,3.14159,15.68
3.6e+06,3.14159,11.8898
4.2e+06,3.14159,9.20995
4.8e+06,3.14159,7.26318
5.4e+06,3.14159,5.81643
6e+06,3.14159,4.72066
0,3.20442,56.9914
600000,3.20442,52.6579
1.2e+06,3.20442,40.7224
1.8e+06,3.20442,29.3466
2.4e+06,3.20442,21.1886
3e+06,3.20442,15.6727
3.6e+06,3.20442,11.8844
4.2e+06,3.20442,9.20589
4.8e+06,3.20442,7.26008
5.4e+06,3.20442,5.81402
6e+06,3.20442,4.71877
0,3.26726,56.9914
600000,3.26726,52.6329
1.2e+06,3.26726,40.6994
1.8e+06,3.26726,29.3296
2.4e+06,3.26726,21.1764
3e+06,3.26726,15.6638
3.6e+06,3.26726,11.8779
4.2e+06,3.26726,9.20096
4.8e+06,3.26726,7.25631
5.4e+06,3.26726,5.8111
6e+06,3.26726,4.71647
0,3.33009,56.9914
600000,3.33009,52.6034
1.2e+06,3.33009,40.6722
1.8e+06,3.33009,29.3096
2.4e+06,3.33009,21.162
3e+06,3.33009,15.6534
3.6e+06,3.33009,11.8702
4.2e+06,3.33009,9.19516
4.8e+06,3.33009,7.25187
5.4e+06,3.33009,5.80766
6e+06,3.33009,4.71378
0,3.39292,56.9914
600000,3.39292,52.5695
1.2e+06,3.39292,40.6409
1.8e+06,3.39292,29.2865
2.4e+06,3.39292,21.1454
3e+06,3.39292,15.6414
3.6e+06,3.39292,11.8613
4.2e+06,3.39292,9.18847
4.8e+06,3.39292,7.24677
5.4e+06,3.39292,5.80371
6e+06,3.39292,4.71068
0,3.45575,56.9914
600000,3.45575,52.5312
1.2e+06,3.45575,40.6053
1.8e+06,3.45575,29.2602
2.4e+06,3.45575,21.1266
3e+06,3.45575,15.6277
3.6e+06,3.45575,11.8512
4.2e+06,3.45575,9.18091
4.8e+06,3.45575,7.241
5.4e+06,3.45575,5.79924
6e+06,3.45575,4.70718
0,3.51858,56.9914
600000,3.51858,52.4883
1.2e+06,3.51858,40.5654
1.8e+06,3.51858,29.2308
2.4e+06,3.51858,21.1055
3e+06,3.51858,15.6125
3.6e+06,3.51858,11.84
4.2e+06,3.51858,9.17248
4.8e+06,3.51858,7.23456
5.4e+06,3.51858,5.79426
6e+06,3.51858,4.70328
0,3.58142,56.9914
600000,3.58142,52.441
1.2e+06,3.58142,40.5211
1.8e+06,3.58142,29.1981
2.4e+06,3.58142,21.0822
3e+06,3.58142,15.5956
3.6e+06,3.58142,11.8275
4.2e+06,3.58142,9.16316
4.8e+06,3.58142,7.22746
